rocket_family,mission,rocket,provider,year,launch_site,location,status,era
Atlas V 431,Echostar 19 (Jupiter-2),Atlas V 431,United Launch Alliance,2016,Space Launch Complex 41,"Cape Canaveral SFS, FL, USA",Launch Successful,Modern
Epsilon,ERG (ARASE),Epsilon,Japan Aerospace Exploration Agency,2016,Mu Center,"Uchinoura Space Center, Japan",Launch Successful,Modern
Long March 2D,Tansat (CarbonSat),Long March 2D,China Aerospace Science and Technology Corporation,2016,Launch Area 94 (SLS-2 / 603),"Jiuquan Satellite Launch Center, People's Republic of China",Launch Successful,Modern
Ariane 5 ECA,Star One D1 & JCSAT-15,Ariane 5 ECA,Arianespace,2016,Ariane Launch Area 3,"Guiana Space Centre, French Guiana",Launch Successful,Modern
SpaceShipTwo,VSS Unity GF02,SpaceShipTwo,Virgin Galactic,2016,Mojave Air and Space Port,Air launch to Suborbital flight,Launch Successful,Modern
Long March 2D,SuperView-1 (Gaojing 1-01 & Gaojing 1-02),Long March 2D,China Aerospace Science and Technology Corporation,2016,Launch Complex 9,"Taiyuan Satellite Launch Center, People's Republic of China",Launch was a Partial Failure,Modern
Long March 3B,TJS-2 (TJSW-2),Long March 3B,China Aerospace Science and Technology Corporation,2017,Launch Complex 2 (LC-2),"Xichang Satellite Launch Center, People's Republic of China",Launch Successful,Modern
Kuaizhou 1A,Multiple payloads,Kuaizhou 1A,ExPace,2017,Launch Area 95A,"Jiuquan Satellite Launch Center, People's Republic of China",Launch Successful,Modern
Falcon 9 Full Thrust,Iridium-1,Falcon 9,SpaceX,2017,Space Launch Complex 4E,"Vandenberg SFB, CA, USA",Launch Successful,Modern
SS-520-4,TRICOM-1,SS-520,Japan Aerospace Exploration Agency,2017,KS Center,"Uchinoura Space Center, Japan",Launch Failure,Modern
Atlas V 401,SBIRS GEO Flight 3 (SBIRS GEO-4),Atlas V 401,United Launch Alliance,2017,Space Launch Complex 41,"Cape Canaveral SFS, FL, USA",Launch Successful,Modern
H-IIA 204,DSN 2 (Kirameki 2),H-IIA,Mitsubishi Heavy Industries,2017,Yoshinobu Launch Complex LP-1,"Tanegashima Space Center, Japan",Launch Successful,Modern
Soyuz STB/Fregat-MT,Hispasat 36W-1 (Hispasat AG1),Soyuz STB,Arianespace,2017,Ariane Launch Area 3,"Guiana Space Centre, French Guiana",Launch Successful,Modern
Ariane 5 ECA,SKY Brasil-1 (Intelsat-32e) & Telkom-3S,Ariane 5 ECA,Arianespace,2017,Ariane Launch Area 3,"Guiana Space Centre, French Guiana",Launch Successful,Modern
PSLV XL,Cartosat-2D & 103 others,PSLV-XL,Indian Space Research Organization,2017,Satish Dhawan Space Centre First Launch Pad,"Satish Dhawan Space Centre, India",Launch Successful,Modern
Falcon 9 Full Thrust,SpX CRS-10,Falcon 9,SpaceX,2017,Launch Complex 39A,"Kennedy Space Center, FL, USA",Launch Successful,Modern
Soyuz-U,Progress MS-05 (66P),Soyuz U,Russian Federal Space Agency (ROSCOSMOS),2017,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Modern
SpaceShipTwo,VSS Unity GF03,SpaceShipTwo,Virgin Galactic,2017,Mojave Air and Space Port,Air launch to Suborbital flight,Launch Successful,Modern
Atlas V 401,NROL-79,Atlas V 401,United Launch Alliance,2017,Space Launch Complex 3E,"Vandenberg SFB, CA, USA",Launch Successful,Modern
Kaituozhe-2,Tiankun-1,Kaituozhe,China Aerospace Science and Technology Corporation,2017,Launch Area 94 (SLS-2 / 603),"Jiuquan Satellite Launch Center, People's Republic of China",Launch Successful,Modern
Vega,Sentinel-2B,Vega,Arianespace,2017,Ariane Launch Area 1 (ELV),"Guiana Space Centre, French Guiana",Launch Successful,Modern
Falcon 9 Full Thrust,Echostar 23,Falcon 9,SpaceX,2017,Launch Complex 39A,"Kennedy Space Center, FL, USA",Launch Successful,Modern
H-IIA 202,IGS Radar 5,H-IIA,Mitsubishi Heavy Industries,2017,Yoshinobu Launch Complex LP-1,"Tanegashima Space Center, Japan",Launch Successful,Modern
"Delta IV M+(5,4)",WGS-9 (USA-275),"Delta IV M+(5,4)",United Launch Alliance,2017,Space Launch Complex 37B,"Cape Canaveral SFS, FL, USA",Launch Successful,Modern
Falcon 9 Full Thrust,SES-10,Falcon 9,SpaceX,2017,Launch Complex 39A,"Kennedy Space Center, FL, USA",Launch Successful,Modern
Long March 3B,Shijian-13/Chinasat-16,Long March 3B,China Aerospace Science and Technology Corporation,2017,Launch Complex 3 (LC-3/LA-1),"Xichang Satellite Launch Center, People's Republic of China",Launch Successful,Modern
Atlas V 401,Cygnus CRS OA-7 (S.S. John Glenn),Atlas V 401,United Launch Alliance,2017,Space Launch Complex 41,"Cape Canaveral SFS, FL, USA",Launch Successful,Modern
Soyuz-FG,Soyuz MS-04,Soyuz,Russian Federal Space Agency (ROSCOSMOS),2017,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Modern
Long March 7,Tianzhou-1,Long March 7,China Aerospace Science and Technology Corporation,2017,201,"Wenchang Space Launch Site, People's Republic of China",Launch Successful,Modern
Falcon 9 Full Thrust,NROL-76,Falcon 9,SpaceX,2017,Launch Complex 39A,"Kennedy Space Center, FL, USA",Launch Successful,Modern
SpaceShipTwo,VSS Unity GF04,SpaceShipTwo,Virgin Galactic,2017,Mojave Air and Space Port,Air launch to Suborbital flight,Launch Successful,Modern
Ariane 5 ECA,SGDC 1 & Koreasat 7,Ariane 5 ECA,Arianespace,2017,Ariane Launch Area 3,"Guiana Space Centre, French Guiana",Launch Successful,Modern
GSLV Mk II,SouthAsiaSat (GSAT-9),GSLV Mk II,Indian Space Research Organization,2017,Satish Dhawan Space Centre Second Launch Pad,"Satish Dhawan Space Centre, India",Launch Successful,Modern
Falcon 9 Full Thrust,Inmarsat-5 F4,Falcon 9,SpaceX,2017,Launch Complex 39A,"Kennedy Space Center, FL, USA",Launch Successful,Modern
Soyuz STA/Fregat,SES-15,Soyuz STA,Arianespace,2017,Soyuz Launch Complex,"Guiana Space Centre, French Guiana",Launch Successful,Modern
Electron,It's a Test,Electron,Rocket Lab,2017,Rocket Lab Launch Complex 1A,"Rocket Lab Launch Complex 1, Mahia Peninsula, New Zealand",Launch Failure,Modern
Soyuz-2.1b/Fregat,EKS-2 (Tundra 2) (Kosmos 2518),Soyuz 2.1b/Fregat,Russian Space Forces,2017,43/4 (43R),"Plesetsk Cosmodrome, Russian Federation",Launch Successful,Modern
H-IIA 202,Michibiki 2 (QZS-2),H-IIA,Mitsubishi Heavy Industries,2017,Yoshinobu Launch Complex LP-1,"Tanegashima Space Center, Japan",Launch Successful,Modern
SpaceShipTwo,VSS Unity CF01,SpaceShipTwo,Virgin Galactic,2017,Mojave Air and Space Port,Air launch to Suborbital flight,Launch Successful,Modern
Ariane 5 ECA,ViaSat-2 & EUTELSAT 172B,Ariane 5 ECA,Arianespace,2017,Ariane Launch Area 3,"Guiana Space Centre, French Guiana",Launch Successful,Modern
Falcon 9 Full Thrust,SpX CRS-11,Falcon 9,SpaceX,2017,Launch Complex 39A,"Kennedy Space Center, FL, USA",Launch Successful,Modern
LVM-3,GSAT-19,LVM-3 (GSLV Mk III),Indian Space Research Organization,2017,Satish Dhawan Space Centre Second Launch Pad,"Satish Dhawan Space Centre, India",Launch Successful,Modern
Proton-M Briz-M,Echostar 21,Proton-M Briz-M,International Launch Services,2017,81/24 (81P),"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Modern
Soyuz 2.1a,Progress MS-06 (67P),Soyuz 2.1a,Russian Federal Space Agency (ROSCOSMOS),2017,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Modern
Long March 4B,Huiyan (HXMT (Hard X-ray Modulation Telescope)),Long March 4B,China Aerospace Science and Technology Corporation,2017,Launch Area 94 (SLS-2 / 603),"Jiuquan Satellite Launch Center, People's Republic of China",Launch Successful,Modern
Long March 3B/E,Zhongxing-9A (Chinasat-9A),Long March 3B/E,China Aerospace Science and Technology Corporation,2017,Launch Complex 2 (LC-2),"Xichang Satellite Launch Center, People's Republic of China",Launch was a Partial Failure,Modern
PSLV XL,Cartosat-2E,PSLV-XL,Indian Space Research Organization,2017,Satish Dhawan Space Centre First Launch Pad,"Satish Dhawan Space Centre, India",Launch Successful,Modern
Soyuz 2.1v/Volga,Kosmos-2519,Soyuz 2.1v,Russian Space Forces,2017,43/4 (43R),"Plesetsk Cosmodrome, Russian Federation",Launch Successful,Modern
Falcon 9 Full Thrust,BulgariaSat-1,Falcon 9,SpaceX,2017,Launch Complex 39A,"Kennedy Space Center, FL, USA",Launch Successful,Modern
Falcon 9 Full Thrust,Iridium-2,Falcon 9,SpaceX,2017,Space Launch Complex 4E,"Vandenberg SFB, CA, USA",Launch Successful,Modern
Ariane 5 ECA,Hellas Sat 3 (Inmarsat S EAN) & GSAT-17,Ariane 5 ECA,Arianespace,2017,Ariane Launch Area 3,"Guiana Space Centre, French Guiana",Launch Successful,Modern
Long March 5 / YZ-2,Shijian 18,Long March 5/YZ-2,China Aerospace Science and Technology Corporation,2017,101,"Wenchang Space Launch Site, People's Republic of China",Launch Failure,Modern
Falcon 9 Full Thrust,Intelsat 35e,Falcon 9,SpaceX,2017,Launch Complex 39A,"Kennedy Space Center, FL, USA",Launch Successful,Modern
Soyuz-2.1a/Fregat,Kanopus-V-IK,Soyuz 2.1a/Fregat-M,Russian Federal Space Agency (ROSCOSMOS),2017,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch was a Partial Failure,Modern
Simorgh,Unknown,Simorgh,Iranian Space Agency,2017,Imam Khomeini Spaceport,"Semnan Space Center, Islamic Republic of Iran",Launch Failure,Modern
Soyuz-FG,Soyuz MS-05,Soyuz,Russian Federal Space Agency (ROSCOSMOS),2017,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Modern
MOMO,1st Test Flight,MOMO v0,Interstellar Technologies,2017,Launch Complex 0,"Hokkaido Spaceport, Japan",Launch Failure,Modern
Vega,OptSat 3000 & VENÂµS (VENUS),Vega,Arianespace,2017,Ariane Launch Area 1 (ELV),"Guiana Space Centre, French Guiana",Launch Successful,Modern
SpaceShipTwo,VSS Unity GF06,SpaceShipTwo,Virgin Galactic,2017,Mojave Air and Space Port,Air launch to Suborbital flight,Launch Successful,Modern
Falcon 9 Block 4,SpX CRS-12,Falcon 9,SpaceX,2017,Launch Complex 39A,"Kennedy Space Center, FL, USA",Launch Successful,Modern
Proton-M/Briz-M,Blagovest No.11L (Kosmos 2520),Proton-M Briz-M,Khrunichev State Research and Production Space Center,2017,81/24 (81P),"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Modern
Atlas V 401,TDRS-M,Atlas V 401,United Launch Alliance,2017,Space Launch Complex 41,"Cape Canaveral SFS, FL, USA",Launch Successful,Modern
H-IIA 204,Michibiki 3 (QZS-3),H-IIA,Mitsubishi Heavy Industries,2017,Yoshinobu Launch Complex LP-1,"Tanegashima Space Center, Japan",Launch Successful,Modern
Falcon 9 Full Thrust,Formosat 5,Falcon 9,SpaceX,2017,Space Launch Complex 4E,"Vandenberg SFB, CA, USA",Launch Successful,Modern
Minotaur IV,ORS-5,Minotaur IV,Orbital ATK,2017,Space Launch Complex 46,"Cape Canaveral SFS, FL, USA",Launch Successful,Modern
PSLV XL,IRNSS-1H,PSLV-XL,Indian Space Research Organization,2017,Satish Dhawan Space Centre First Launch Pad,"Satish Dhawan Space Centre, India",Launch Failure,Modern
Falcon 9 Block 4,OTV-5 (X-37B),Falcon 9,SpaceX,2017,Launch Complex 39A,"Kennedy Space Center, FL, USA",Launch Successful,Modern
Proton-M Briz-M,Amazonas 5,Proton-M Briz-M,International Launch Services,2017,200/39 (200L),"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Modern
Soyuz-FG,Soyuz MS-06,Soyuz,Russian Federal Space Agency (ROSCOSMOS),2017,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Modern
Soyuz-2.1b/Fregat-M,Glonass-M (Kosmos 2522),Soyuz 2.1b/Fregat-M,Russian Space Forces,2017,43/3 (43L),"Plesetsk Cosmodrome, Russian Federation",Launch Successful,Modern
Atlas V 541,NROL-42,Atlas V 541,United Launch Alliance,2017,Space Launch Complex 3E,"Vandenberg SFB, CA, USA",Launch Successful,Modern
Proton-M Briz-M,AsiaSat 9,Proton-M Briz-M,International Launch Services,2017,200/39 (200L),"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Modern
Long March 2C,3 x Yaogan-30-01,Long March 2C,China Aerospace Science and Technology Corporation,2017,Launch Complex 3 (LC-3/LA-1),"Xichang Satellite Launch Center, People's Republic of China",Launch Successful,Modern
Ariane 5 ECA,Intelsat 37e & BSAT-4a,Ariane 5 ECA,Arianespace,2017,Ariane Launch Area 3,"Guiana Space Centre, French Guiana",Launch Successful,Modern
Long March 2D,VRSS-2 (Antonio JosÃ© de Sucre),Long March 2D,China Aerospace Science and Technology Corporation,2017,Launch Area 94 (SLS-2 / 603),"Jiuquan Satellite Launch Center, People's Republic of China",Launch Successful,Modern
Falcon 9 Block 4,Iridium-3,Falcon 9,SpaceX,2017,Space Launch Complex 4E,"Vandenberg SFB, CA, USA",Launch Successful,Modern
H-IIA 202,Michibiki 4 (QZS-4),H-IIA,Mitsubishi Heavy Industries,2017,Yoshinobu Launch Complex LP-1,"Tanegashima Space Center, Japan",Launch Successful,Modern
Falcon 9 Full Thrust,Echostar 105/SES-11,Falcon 9,SpaceX,2017,Launch Complex 39A,"Kennedy Space Center, FL, USA",Launch Successful,Modern
Rokot / Briz-KM,Sentinel-5P,Rokot/Briz-KM,Eurockot Launch Services,2017,133/3 (133L),"Plesetsk Cosmodrome, Russian Federation",Launch Successful,Modern
Soyuz 2.1a,Progress MS-07 (68P),Soyuz 2.1a,Russian Federal Space Agency (ROSCOSMOS),2017,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Modern
Atlas V 421,NROL-52,Atlas V 421,United Launch Alliance,2017,Space Launch Complex 41,"Cape Canaveral SFS, FL, USA",Launch Successful,Modern
Falcon 9 Block 4,Koreasat 5A,Falcon 9,SpaceX,2017,Launch Complex 39A,"Kennedy Space Center, FL, USA",Launch Successful,Modern
Minotaur-C (Taurus XL),6 x SkySat & 4 x Dove,Minotaur,Orbital ATK,2017,Space Launch Complex 576E,"Vandenberg SFB, CA, USA",Launch Successful,Modern
Long March 3B / YZ-1,Beidou-3 M1 & M2,Long March 3B/YZ-1,China Aerospace Science and Technology Corporation,2017,Launch Complex 3 (LC-3/LA-1),"Xichang Satellite Launch Center, People's Republic of China",Launch Successful,Modern
Vega,Mohammed VI-A,Vega,Arianespace,2017,Ariane Launch Area 1 (ELV),"Guiana Space Centre, French Guiana",Launch Successful,Modern
Antares 230,Cygnus CRS OA-8 (S.S. Gene Cernan),Antares 230,Orbital ATK,2017,Launch Area 0 A,"Wallops Flight Facility, Virginia, USA",Launch Successful,Modern
Long March 4C,Fengyun-3D,Long March 4C,China Aerospace Science and Technology Corporation,2017,Launch Complex 9,"Taiyuan Satellite Launch Center, People's Republic of China",Launch Successful,Modern
Delta II 7920-10,JPSS 1 (Joint Polar Satellite System spacecraft No. 1),Delta II,United Launch Alliance,2017,Space Launch Complex 2W,"Vandenberg SFB, CA, USA",Launch Successful,Modern
Long March 6,"Jilin-1-04, Jilin-1-05 & Jilin-1-06",Long March 6,China Aerospace Science and Technology Corporation,2017,Launch Complex 16,"Taiyuan Satellite Launch Center, People's Republic of China",Launch Successful,Modern
Long March 2C,3 x Yaogan-30,Long March 2C,China Aerospace Science and Technology Corporation,2017,Launch Complex 3 (LC-3/LA-1),"Xichang Satellite Launch Center, People's Republic of China",Launch Successful,Modern
Soyuz 2.1b/Fregat,Meteor-M No.2-1 & rideshare payloads,Soyuz 2.1b/Fregat,Russian Federal Space Agency (ROSCOSMOS),2017,Cosmodrome Site 1S,"Vostochny Cosmodrome, Siberia, Russian Federation",Launch Failure,Modern
Soyuz-2.1b,Lotos-S1 (Kosmos-2524),Soyuz 2.1b,Russian Space Forces,2017,43/4 (43R),"Plesetsk Cosmodrome, Russian Federation",Launch Successful,Modern
Long March 2D,LKW-1 (Land Survey Satellite-1),Long March 2D,China Aerospace Science and Technology Corporation,2017,Launch Area 94 (SLS-2 / 603),"Jiuquan Satellite Launch Center, People's Republic of China",Launch Successful,Modern
Long March 3B/E,Alcomsat-1,Long March 3B/E,China Aerospace Science and Technology Corporation,2017,Launch Complex 2 (LC-2),"Xichang Satellite Launch Center, People's Republic of China",Launch Successful,Modern
New Shepard,NS-7,New Shepard,Blue Origin,2017,West Texas Suborbital Launch Site/ Corn Ranch,"Corn Ranch, Van Horn, TX, USA",Launch Successful,Modern
Ariane 5 ES,Galileo L9 (FOC FM15-FM18),Ariane 5 ES,Arianespace,2017,Ariane Launch Area 3,"Guiana Space Centre, French Guiana",Launch Successful,Modern
Falcon 9 Full Thrust,SpX CRS-13,Falcon 9,SpaceX,2017,Space Launch Complex 40,"Cape Canaveral SFS, FL, USA",Launch Successful,Modern
Soyuz-FG,Soyuz MS-07,Soyuz,Russian Federal Space Agency (ROSCOSMOS),2017,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Modern
H-IIA 202,GCOM-C1 & SLATS,H-IIA,Mitsubishi Heavy Industries,2017,Yoshinobu Launch Complex LP-1,"Tanegashima Space Center, Japan",Launch Successful,Modern
Falcon 9 Full Thrust,Iridium-4,Falcon 9,SpaceX,2017,Space Launch Complex 4E,"Vandenberg SFB, CA, USA",Launch Successful,Modern
Long March 2D,LKW-2 (Land Survey Satellite-2),Long March 2D,China Aerospace Science and Technology Corporation,2017,Launch Area 94 (SLS-2 / 603),"Jiuquan Satellite Launch Center, People's Republic of China",Launch Successful,Modern
Long March 2C,3 x Yaogan-30,Long March 2C,China Aerospace Science and Technology Corporation,2017,Launch Complex 3 (LC-3/LA-1),"Xichang Satellite Launch Center, People's Republic of China",Launch Successful,Modern
Zenit-3F,AngoSat-1,Zenit 3F,Sea Launch,2017,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Modern
Falcon 9 Block 4,Zuma,Falcon 9,SpaceX,2018,Space Launch Complex 40,"Cape Canaveral SFS, FL, USA",Launch Successful,Modern
Long March 2D,SuperView-1 (Gaojing 1-03 & Gaojing 1-04),Long March 2D,China Aerospace Science and Technology Corporation,2018,Launch Complex 9,"Taiyuan Satellite Launch Center, People's Republic of China",Launch Successful,Modern
SpaceShipTwo,VSS Unity GF07,SpaceShipTwo,Virgin Galactic,2018,Mojave Air and Space Port,Air launch to Suborbital flight,Launch Successful,Modern
Long March 3B / YZ-1,Beidou-3 M7 & M8,Long March 3B/YZ-1,China Aerospace Science and Technology Corporation,2018,Launch Complex 3 (LC-3/LA-1),"Xichang Satellite Launch Center, People's Republic of China",Launch Successful,Modern
PSLV XL,Cartosat-2F (Cartosat-2S4),PSLV-XL,Indian Space Research Organization,2018,Satish Dhawan Space Centre First Launch Pad,"Satish Dhawan Space Centre, India",Launch Successful,Modern
"Delta IV M+(5,2)",NROL-47,"Delta IV M+(5,2)",United Launch Alliance,2018,Space Launch Complex 6,"Vandenberg SFB, CA, USA",Launch Successful,Modern
Long March 2D,LKW-3 (Land Survey Satellite-3),Long March 2D,China Aerospace Science and Technology Corporation,2018,Launch Area 94 (SLS-2 / 603),"Jiuquan Satellite Launch Center, People's Republic of China",Launch Successful,Modern
Epsilon,ASNARO-2,Epsilon,Japan Aerospace Exploration Agency,2018,Mu Center,"Uchinoura Space Center, Japan",Launch Successful,Modern
Long March 11,"Jilin-1-07 (Deqing-1), Jilin-1-08",Long March 11,China Aerospace Science and Technology Corporation,2018,Launch Area 95A,"Jiuquan Satellite Launch Center, People's Republic of China",Launch Successful,Modern
Atlas V 411,SBIRS GEO Flight 4 (SBIRS GEO-3),Atlas V 411,United Launch Alliance,2018,Space Launch Complex 41,"Cape Canaveral SFS, FL, USA",Launch Successful,Modern
Electron,Still Testing,Electron,Rocket Lab,2018,Rocket Lab Launch Complex 1A,"Rocket Lab Launch Complex 1, Mahia Peninsula, New Zealand",Launch Successful,Modern
Long March 2C,3 x Yaogan-30,Long March 2C,China Aerospace Science and Technology Corporation,2018,Launch Complex 3 (LC-3/LA-1),"Xichang Satellite Launch Center, People's Republic of China",Launch Successful,Modern
Ariane 5 ECA,Al Yah 3 & SES-14,Ariane 5 ECA,Arianespace,2018,Ariane Launch Area 3,"Guiana Space Centre, French Guiana",Launch was a Partial Failure,Modern
Falcon 9 Full Thrust,GovSat (SES-16),Falcon 9,SpaceX,2018,Space Launch Complex 40,"Cape Canaveral SFS, FL, USA",Launch Successful,Modern
Soyuz 2.1a/Fregat-M,Kanopus-V No.3 & Kanopus-V No.4,Soyuz 2.1a/Fregat-M,Russian Federal Space Agency (ROSCOSMOS),2018,Cosmodrome Site 1S,"Vostochny Cosmodrome, Siberia, Russian Federation",Launch Successful,Modern
Long March 2D,Zhangheng-1 (CSES),Long March 2D,China Aerospace Science and Technology Corporation,2018,Launch Area 94 (SLS-2 / 603),"Jiuquan Satellite Launch Center, People's Republic of China",Launch Successful,Modern
SS-520-5,TRICOM-1R,SS-520,Japan Aerospace Exploration Agency,2018,KS Center,"Uchinoura Space Center, Japan",Launch Successful,Modern
Falcon Heavy,Demo (Test Flight),Falcon Heavy,SpaceX,2018,Launch Complex 39A,"Kennedy Space Center, FL, USA",Launch Successful,Modern
Long March 3B / YZ-1,Beidou-3 M3 & M4,Long March 3B/YZ-1,China Aerospace Science and Technology Corporation,2018,Launch Complex 2 (LC-2),"Xichang Satellite Launch Center, People's Republic of China",Launch Successful,Modern
Soyuz 2.1a,Progress MS-08 (69P),Soyuz 2.1a,Russian Federal Space Agency (ROSCOSMOS),2018,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Modern
Falcon 9 Full Thrust,"PAZ & Microsat-2a, Microsat-2b",Falcon 9,SpaceX,2018,Space Launch Complex 4E,"Vandenberg SFB, CA, USA",Launch Successful,Modern
H-IIA 202,IGS Optical 6,H-IIA,Japan Aerospace Exploration Agency,2018,Yoshinobu Launch Complex LP-1,"Tanegashima Space Center, Japan",Launch Successful,Modern
Atlas V 541,GOES-S,Atlas V 541,United Launch Alliance,2018,Space Launch Complex 41,"Cape Canaveral SFS, FL, USA",Launch Successful,Modern
Falcon 9 Block 4,Hispasat 30W-6 (Hispasat 1F),Falcon 9,SpaceX,2018,Space Launch Complex 40,"Cape Canaveral SFS, FL, USA",Launch Successful,Modern
Soyuz STB/Fregat,O3b FM13-16,Soyuz STB,Arianespace,2018,Soyuz Launch Complex,"Guiana Space Centre, French Guiana",Launch Successful,Modern
Long March 2D,LKW-4 (Land Survey Satellite-4),Long March 2D,China Aerospace Science and Technology Corporation,2018,Launch Area 94 (SLS-2 / 603),"Jiuquan Satellite Launch Center, People's Republic of China",Launch Successful,Modern
Soyuz-FG,Soyuz MS-08,Soyuz,Russian Federal Space Agency (ROSCOSMOS),2018,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Modern
GSLV Mk II,GSAT-6A,GSLV Mk II,Indian Space Research Organization,2018,Satish Dhawan Space Centre Second Launch Pad,"Satish Dhawan Space Centre, India",Launch Successful,Modern
Soyuz 2.1v,VNIIEM EMKA (Kosmos 2525),Soyuz,Russian Space Forces,2018,43/4 (43R),"Plesetsk Cosmodrome, Russian Federation",Launch Successful,Modern
Long March 3B / YZ-1,Beidou-3 M9 & M10,Long March 3B/YZ-1,China Aerospace Science and Technology Corporation,2018,Launch Complex 2 (LC-2),"Xichang Satellite Launch Center, People's Republic of China",Launch Successful,Modern
Falcon 9 Block 4,Iridium-5,Falcon 9,SpaceX,2018,Space Launch Complex 4E,"Vandenberg SFB, CA, USA",Launch Successful,Modern
Long March 4C,"Gaofen 1-02, 1-03 & 1-04",Long March 4C,China Aerospace Science and Technology Corporation,2018,Launch Complex 9,"Taiyuan Satellite Launch Center, People's Republic of China",Launch Successful,Modern
Falcon 9 Block 4,SpX CRS-14,Falcon 9,SpaceX,2018,Space Launch Complex 40,"Cape Canaveral SFS, FL, USA",Launch Successful,Modern
SpaceShipTwo,VSS Unity PF01,SpaceShipTwo,Virgin Galactic,2018,Mojave Air and Space Port,Air launch to Suborbital flight,Launch Successful,Modern
Ariane 5 ECA,DSN 1 & HYLAS 4,Ariane 5 ECA,Arianespace,2018,Ariane Launch Area 3,"Guiana Space Centre, French Guiana",Launch Successful,Modern
Long March 4C,3 x Yaogan-31-01,Long March 4C,China Aerospace Science and Technology Corporation,2018,Launch Area 94 (SLS-2 / 603),"Jiuquan Satellite Launch Center, People's Republic of China",Launch Successful,Modern
PSLV XL,IRNSS-1I,PSLV-XL,Indian Space Research Organization,2018,Satish Dhawan Space Centre First Launch Pad,"Satish Dhawan Space Centre, India",Launch Successful,Modern
Atlas V 551,AFSPC-11,Atlas V 551,United Launch Alliance,2018,Space Launch Complex 41,"Cape Canaveral SFS, FL, USA",Launch Successful,Modern
Proton-M/Briz-M,Blagovest No.12L (Kosmos 2526),Proton-M Briz-M,Khrunichev State Research and Production Space Center,2018,81/24 (81P),"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Modern
Falcon 9 Block 4,TESS (Transiting Exoplanet Survey Satellite),Falcon 9,SpaceX,2018,Space Launch Complex 40,"Cape Canaveral SFS, FL, USA",Launch Successful,Modern
Rokot / Briz-KM,Sentinel-3B,Rokot/Briz-KM,Eurockot Launch Services,2018,133/3 (133L),"Plesetsk Cosmodrome, Russian Federation",Launch Successful,Modern
Long March 11,Zhuhai-1-02,Long March 11,China Aerospace Science and Technology Corporation,2018,Launch Area 95A,"Jiuquan Satellite Launch Center, People's Republic of China",Launch Successful,Modern
New Shepard,NS-8,New Shepard,Blue Origin,2018,West Texas Suborbital Launch Site/ Corn Ranch,"Corn Ranch, Van Horn, TX, USA",Launch Successful,Modern
Long March 3B/E,APStar-6C,Long March 3B/E,China Aerospace Science and Technology Corporation,2018,Launch Complex 2 (LC-2),"Xichang Satellite Launch Center, People's Republic of China",Launch Successful,Modern
Atlas V 401,"InSight, Mars Cube One 1 & Mars Cube One 2",Atlas V 401,United Launch Alliance,2018,Space Launch Complex 3E,"Vandenberg SFB, CA, USA",Launch Successful,Modern
Long March 4C,Gaofen 5,Long March 4C,China Aerospace Science and Technology Corporation,2018,Launch Complex 9,"Taiyuan Satellite Launch Center, People's Republic of China",Launch Successful,Modern
Falcon 9 Block 5,Bangabandhu-1,Falcon 9,SpaceX,2018,Launch Complex 39A,"Kennedy Space Center, FL, USA",Launch Successful,Modern
Long March 4C,Queqiao (Chang'e 4 relay satellite),Long March 4C,China Aerospace Science and Technology Corporation,2018,Launch Complex 3 (LC-3/LA-1),"Xichang Satellite Launch Center, People's Republic of China",Launch Successful,Modern
Antares 230,Cygnus CRS OA-9 (S.S. J.R. Thompson),Antares 230,Orbital ATK,2018,Launch Area 0 A,"Wallops Flight Facility, Virginia, USA",Launch Successful,Modern
Falcon 9 Block 4,Iridium-6 & GRACE-FO,Falcon 9,SpaceX,2018,Space Launch Complex 4E,"Vandenberg SFB, CA, USA",Launch Successful,Modern
SpaceShipTwo,VSS Unity PF02,SpaceShipTwo,Virgin Galactic,2018,Mojave Air and Space Port,Air launch to Suborbital flight,Launch Successful,Modern
Long March 2D,Gaofen 6 & Luojia-1,Long March 2D,China Aerospace Science and Technology Corporation,2018,Launch Area 94 (SLS-2 / 603),"Jiuquan Satellite Launch Center, People's Republic of China",Launch Successful,Modern
Falcon 9 Block 4,SES-12,Falcon 9,SpaceX,2018,Space Launch Complex 40,"Cape Canaveral SFS, FL, USA",Launch Successful,Modern
